TIC,hostname,pl_name,sy_pnum,sy_snum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_orbper_tess,pl_orbpererr1_tess,pl_orbpererr2_tess,pl_tranmid_tess,pl_tranmiderr1_tess,pl_tranmiderr2_tess,obrparams_tess
106352250,CoRoT-28,CoRoT-28 b,1.0,1.0,5.2085099999999995,0.00037999999999999997,-0.00037999999999999997,2455755.8466,0.0029,-0.0029,,,,,,,0
108155949,CoRoT-23,CoRoT-23 b,1.0,1.0,3.6313,0.0001,-0.0001,2455308.9390000002,0.001,-0.001,,,,,,,0
10837041,TOI-2411,TOI-2411 b,1.0,1.0,0.7826941999999999,3.7000000000000006e-06,-3.7000000000000006e-06,2459116.0139,0.001,-0.001,0.7827649999999999,0.000117,-0.000117,2459116.012856,0.002147,-0.002147,0
110178537,CoRoT-11,CoRoT-11 b,1.0,1.0,2.9943299999999997,1.1e-05,-1.1e-05,2454597.679,0.0003,-0.0003,,,,,,,0
11023038,K2-139,K2-139 b,1.0,1.0,28.380619,0.000551,-0.000528,2457325.8175,0.00058,-0.00059,,,,,,,0
110999033,K2-247,K2-247 b,2.0,1.0,2.25021,0.00033,-0.00036,2457582.977,0.0064,-0.0061,,,,,,,0
111991770,WASP-15,WASP-15 b,1.0,1.0,3.7521,1e-05,-1e-05,2454584.6981900004,0.00021,-0.0002,3.7520620000000005,0.000147,-0.000147,2458599.445086,0.0006,-0.0006,0
112099249,WASP-184,WASP-184 b,1.0,1.0,5.1817,1e-05,-1e-05,2457630.008,0.001,-0.001,5.1795800000000005,0.00122,-0.00122,2458604.1708400003,0.00197,-0.00197,0
112604564,HATS-39,HATS-39 b,1.0,1.0,4.5776348,7.2999999999999996e-06,-7.2999999999999996e-06,2457315.28338,0.00055,-0.00055,4.5768651,0.0007201000000000001,-0.0007201000000000001,2459233.316814,0.0017809999999999998,-0.0017809999999999998,0
11270200,HATS-12,HATS-12 b,1.0,1.0,3.142702,5.3e-05,-5.3e-05,2457311.2387599996,0.0006799999999999999,-0.0006799999999999999,,,,,,,0
1129033,WASP-77 A,WASP-77 A b,1.0,2.0,1.36002854,6.2e-07,-6.2e-07,2457420.8843900003,0.0008,-0.00085,1.3600283000000002,2e-07,-2e-07,2459168.520849,5.6000000000000006e-05,-5.6000000000000006e-05,0
113979956,K2-88,K2-88 b,1.0,1.0,4.6122,0.00018,-0.00018,2457066.2194,0.0015,-0.0015,,,,,,,0
114031109,K2-177,K2-177 b,1.0,1.0,14.155185000000001,0.00315,-0.0029649999999999998,2457070.08022,0.007104999999999999,-0.006862999999999999,,,,,,,0
114299824,HATS-55,HATS-55 b,1.0,1.0,4.2042000999999996,3.3e-06,-3.3e-06,2457413.1304200003,0.0005099999999999999,-0.0005099999999999999,4.2041585,3.17e-05,-3.17e-05,2459250.356487,0.004385,-0.004385,0
11439959,HATS-11,HATS-11 b,1.0,1.0,3.619188,2.8000000000000003e-05,-2.8999999999999997e-05,2457313.27367,0.00033,-0.00032,,,,,,,0
114749636,WASP-147,WASP-147 b,1.0,1.0,4.60273,2.7000000000000002e-05,-2.7000000000000002e-05,2456562.595,0.0013,-0.0013,4.60273,1e-05,-1e-05,2459089.502264,0.001209,-0.001209,0
115010361,K2-353,K2-353 b,1.0,1.0,15.466804999999999,0.000572,-0.0005650000000000001,2458189.851818,0.000977,-0.0009880000000000002,15.4658657,9.03e-05,-9.03e-05,2459550.851079,0.00774,-0.00774,0
115072772,K2-200,K2-200 b,1.0,1.0,2.849883,0.000188,-0.00018,2457218.56088,0.002936,-0.002892,,,,,,,0
115524421,WASP-148,WASP-148 b,2.0,1.0,8.80381,4.3e-05,-4.3e-05,2457957.4877,0.0059,-0.0059,8.80512,0.0007099999999999999,-0.0007099999999999999,2458961.12375,0.00139,-0.00139,0
11561667,HATS-77,HATS-77 b,1.0,1.0,3.0876262000000003,1.6e-06,-1.6e-06,2459136.69378,0.0002,-0.0002,3.0876295,7.9e-06,-7.9e-06,2458543.8694240004,0.000893,-0.000893,0
116156517,WASP-190,WASP-190 b,1.0,1.0,5.3677529999999996,4e-06,-4e-06,2457799.1256,0.0007,-0.0007,5.3669708,0.0006478,-0.0006478,2458357.37358,0.00139,-0.00139,0
116242971,KELT-12,KELT-12 b,1.0,1.0,5.031623000000001,3.2e-05,-3.1e-05,2457083.660459,0.0008939999999999999,-0.0008939999999999999,5.0316285999999995,6.900000000000001e-06,-6.900000000000001e-06,2459418.338204,0.000466,-0.000466,0
116264089,TrES-3,TrES-3 b,1.0,1.0,1.30618581,6e-07,-6e-07,2454185.9104,0.00021600000000000002,-0.00021600000000000002,1.3061923,6e-07,-6e-07,2459391.063502,0.00021600000000000002,-0.00021600000000000002,0
116483514,TOI-1411,TOI-1411 b,1.0,1.0,1.4520358,9.800000000000001e-06,-9.800000000000001e-06,2458739.4762,0.0014,-0.0014,1.4520464,3.6000000000000003e-06,-3.6000000000000003e-06,2459715.250846,0.0016769999999999999,-0.0016769999999999999,0
117275513,K2-348,K2-348 b,2.0,1.0,4.688418,0.00011899999999999999,-0.000117,2458096.7167720003,0.000995,-0.001053,4.6886293,8.7e-06,-8.7e-06,2459573.632496,0.0026420000000000003,-0.0026420000000000003,0
117414377,K2-376,K2-376 b,1.0,1.0,5.776475,0.000261,-0.00023700000000000001,2458096.7426,0.0025,-0.0022,,,,,,,0
11755687,Gaia-1,Gaia-1 b,1.0,1.0,3.052524,1.7e-05,-1.7e-05,2458468.68524,0.00057,-0.00057,,,,,,,0
117979897,WASP-141,WASP-141 b,1.0,1.0,3.310651,5e-06,-5e-06,2457019.5953,0.0003,-0.0003,3.3106692000000004,3.5000000000000004e-06,-3.5000000000000004e-06,2459174.840517,0.000975,-0.000975,0
118956453,WASP-170,WASP-170 b,1.0,1.0,2.34478022,3.6000000000000003e-06,-3.6000000000000003e-06,2457802.3915,0.0002,-0.0002,2.3447752,1.7e-06,-1.7e-06,2459279.602393,0.00040599999999999995,-0.00040599999999999995,0
119262291,HATS-36,HATS-36 b,1.0,1.0,4.175186,3.3e-05,-3.3e-05,2457314.4631,0.00031,-0.00032,,,,,,,0
119605900,K2-280,K2-280 b,1.0,1.0,19.89526,0.00028,-0.00028,2457307.5811400004,0.00056,-0.00056,,,,,,,0
120042828,Kepler-1407,Kepler-1407 b,1.0,1.0,20.071150399999997,0.0005453,-0.0005453,2454969.93,0.0222,-0.0222,,,,,,,0
120042965,Kepler-697,Kepler-697 b,1.0,1.0,3.70987065,3.05e-06,-3.05e-06,2455004.987861,0.000629,-0.000629,,,,,,,0
120043084,Kepler-1062,Kepler-1062 b,1.0,1.0,9.30412078,2.394e-05,-2.394e-05,2454973.34013,0.00213,-0.00213,,,,,,,0
120043638,Kepler-1310,Kepler-1310 b,1.0,1.0,0.67933627,7.2e-07,-7.2e-07,2454965.8573310003,0.000883,-0.000883,,,,,,,0
120044687,Kepler-236,Kepler-236 b,2.0,1.0,8.295611,3.2e-05,-3.2e-05,2454968.79207,0.0023,-0.0023,,,,,,,0
120103325,Kepler-158,Kepler-158 b,2.0,1.0,16.709184,6.4e-05,-6.4e-05,2455007.75561,0.00193,-0.00193,,,,,,,0
120103486,Kepler-1933,Kepler-1933 b,1.0,1.0,4.94329023,,,2454968.57568,0.0024100000000000002,-0.0024100000000000002,,,,,,,0
120105003,Kepler-971,Kepler-971 b,1.0,1.0,9.59070716,2.3199999999999998e-05,-2.3199999999999998e-05,2454965.68117,0.00202,-0.00202,,,,,,,0
