"TIC","rowid","pl_name","hostname","pl_letter","hd_name","hip_name","gaia_id","sy_snum","sy_pnum","sy_mnum","cb_flag","discoverymethod","disc_year","disc_refname","disc_pubdate","disc_locale","disc_facility","disc_telescope","disc_instrument","rv_flag","pul_flag","ptv_flag","tran_flag","ast_flag","obm_flag","micro_flag","etv_flag","ima_flag","dkin_flag","pl_controv_flag","pl_orbper","pl_orbpererr1","pl_orbpererr2","pl_orbperlim","pl_orbper_reflink","pl_orbsmax","pl_orbsmaxerr1","pl_orbsmaxerr2","pl_orbsmaxlim","pl_orbsmax_reflink","pl_rade","pl_radeerr1","pl_radeerr2","pl_radelim","pl_rade_reflink","pl_radj","pl_radjerr1","pl_radjerr2","pl_radjlim","pl_radj_reflink","pl_bmasse","pl_bmasseerr1","pl_bmasseerr2","pl_bmasselim","pl_bmasse_reflink","pl_bmassj","pl_bmassjerr1","pl_bmassjerr2","pl_bmassjlim","pl_bmassj_reflink","pl_bmassprov","pl_dens","pl_denserr1","pl_denserr2","pl_denslim","pl_dens_reflink","pl_orbeccen","pl_orbeccenerr1","pl_orbeccenerr2","pl_orbeccenlim","pl_orbeccen_reflink","pl_insol","pl_insolerr1","pl_insolerr2","pl_insollim","pl_insol_reflink","pl_eqt","pl_eqterr1","pl_eqterr2","pl_eqtlim","pl_eqt_reflink","pl_orbincl","pl_orbinclerr1","pl_orbinclerr2","pl_orbincllim","pl_orbincl_reflink","pl_tranmid","pl_tranmiderr1","pl_tranmiderr2","pl_tranmidlim","pl_tranmid_systemref","pl_tranmid_reflink","ttv_flag","pl_imppar","pl_impparerr1","pl_impparerr2","pl_impparlim","pl_imppar_reflink","pl_trandep","pl_trandeperr1","pl_trandeperr2","pl_trandeplim","pl_trandep_reflink","pl_trandur","pl_trandurerr1","pl_trandurerr2","pl_trandurlim","pl_trandur_reflink","pl_ratdor","pl_ratdorerr1","pl_ratdorerr2","pl_ratdorlim","pl_ratdor_reflink","pl_ratror","pl_ratrorerr1","pl_ratrorerr2","pl_ratrorlim","pl_ratror_reflink","pl_occdep","pl_occdeperr1","pl_occdeperr2","pl_occdeplim","pl_occdep_reflink","pl_orbtper","pl_orbtpererr1","pl_orbtpererr2","pl_orbtperlim","pl_orbtper_systemref","pl_orbtper_reflink","pl_orblper","pl_orblpererr1","pl_orblpererr2","pl_orblperlim","pl_orblper_reflink","pl_rvamp","pl_rvamperr1","pl_rvamperr2","pl_rvamplim","pl_rvamp_reflink","pl_projobliq","pl_projobliqerr1","pl_projobliqerr2","pl_projobliqlim","pl_projobliq_reflink","pl_trueobliq","pl_trueobliqerr1","pl_trueobliqerr2","pl_trueobliqlim","pl_trueobliq_reflink","st_spectype","st_spectype_reflink","st_teff","st_tefferr1","st_tefferr2","st_tefflim","st_teff_reflink","st_rad","st_raderr1","st_raderr2","st_radlim","st_rad_reflink","st_mass","st_masserr1","st_masserr2","st_masslim","st_mass_reflink","st_met","st_meterr1","st_meterr2","st_metlim","st_met_reflink","st_metratio","st_lum","st_lumerr1","st_lumerr2","st_lumlim","st_lum_reflink","st_logg","st_loggerr1","st_loggerr2","st_logglim","st_logg_reflink","st_age","st_ageerr1","st_ageerr2","st_agelim","st_age_reflink","st_dens","st_denserr1","st_denserr2","st_denslim","st_dens_reflink","st_vsin","st_vsinerr1","st_vsinerr2","st_vsinlim","st_vsin_reflink","st_rotp","st_rotperr1","st_rotperr2","st_rotplim","st_rotp_reflink","st_radv","st_radverr1","st_radverr2","st_radvlim","st_radv_reflink","rastr","ra","decstr","dec","glat","glon","elat","elon","ra_reflink","sy_pm","sy_pmerr1","sy_pmerr2","sy_pmra","sy_pmraerr1","sy_pmraerr2","sy_pmdec","sy_pmdecerr1","sy_pmdecerr2","sy_pm_reflink","sy_dist","sy_disterr1","sy_disterr2","sy_dist_reflink","sy_plx","sy_plxerr1","sy_plxerr2","sy_plx_reflink","sy_bmag","sy_bmagerr1","sy_bmagerr2","sy_bmag_reflink","sy_vmag","sy_vmagerr1","sy_vmagerr2","sy_vmag_reflink","sy_jmag","sy_jmagerr1","sy_jmagerr2","sy_jmag_reflink","sy_hmag","sy_hmagerr1","sy_hmagerr2","sy_hmag_reflink","sy_kmag","sy_kmagerr1","sy_kmagerr2","sy_kmag_reflink","sy_umag","sy_umagerr1","sy_umagerr2","sy_umag_reflink","sy_gmag","sy_gmagerr1","sy_gmagerr2","sy_gmag_reflink","sy_rmag","sy_rmagerr1","sy_rmagerr2","sy_rmag_reflink","sy_imag","sy_imagerr1","sy_imagerr2","sy_imag_reflink","sy_zmag","sy_zmagerr1","sy_zmagerr2","sy_zmag_reflink","sy_w1mag","sy_w1magerr1","sy_w1magerr2","sy_w1mag_reflink","sy_w2mag","sy_w2magerr1","sy_w2magerr2","sy_w2mag_reflink","sy_w3mag","sy_w3magerr1","sy_w3magerr2","sy_w3mag_reflink","sy_w4mag","sy_w4magerr1","sy_w4magerr2","sy_w4mag_reflink","sy_gaiamag","sy_gaiamagerr1","sy_gaiamagerr2","sy_gaiamag_reflink","sy_icmag","sy_icmagerr1","sy_icmagerr2","sy_icmag_reflink","sy_tmag","sy_tmagerr1","sy_tmagerr2","sy_tmag_reflink","sy_kepmag","sy_kepmagerr1","sy_kepmagerr2","sy_kepmag_reflink","pl_nnotes","st_nphot","st_nrvc","st_nspec","pl_nespec","pl_ntranspec"
2288734,689,"HD 179949 b","HD 179949","b","HD 179949","HIP 94645","Gaia DR2 6770313530317154560",1,1,0,0,"Radial Velocity",2000,"<a refstr=TINNEY_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001ApJ...551..507T/abstract target=ref> Tinney et al. 2001 </a>","2001-04","Ground","Anglo-Australian Telescope","3.9 m Anglo-Australian Telescope","UCLES Spectrograph",1,0,0,0,0,1,0,0,0,0,0,3.092514,3.2E-05,-3.2E-05,0,"<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>",0.0443,0.0026,-0.0026,0,"<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>",13.9,,,0,"<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>",1.24,,,0,"<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>",291.12,24.154,-24.154,0,"<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>",0.916,0.076,-0.076,0,"<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>","Msini",0.596,,,0,"<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>",0.022,0.015,-0.015,0,"<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>",,,,,,,,,,,,,,,,2453197.175,0.018,-0.02,0,"BJD","<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2451002.36,0.44,-0.44,0,,"<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>",192,,,0,"<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>",112.6,1.8,-1.8,0,"<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>",,,,,,,,,,,"F8 V","<a refstr=WITTENMYER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...654..625W/abstract target=ref> Wittenmyer et al. 2007 </a>",6168,,,0,"<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>",1.27,0.03,-0.03,0,"<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210511583R/abstract target=ref>Rosenthal et al. 2021</a>",1.21,,,0,"<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>",0.137,,,0,"<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>","[Fe/H]",0.301,0.001,-0.001,0,"<a refstr=GAIA_COLLABORATION_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...616A...1G/abstract target=ref>Gaia DR2</a>",4.34,,,0,"<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>",1,0,-1,1,"<a refstr=GHEZZI_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...720.1290G/abstract target=ref>Ghezzi et al. 2010</a>",0.85977,0.18243,-0.2321,0,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",6.3,0.9,-0.9,0,"<a refstr=TINNEY_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001ApJ...551..507T/abstract target=ref> Tinney et al. 2001 </a>",,,,,,-24.7,0.17,-0.17,0,"<a refstr=GAIA_COLLABORATION_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...616A...1G/abstract target=ref>Gaia DR2</a>","19h15m33.36s",288.8890182,"-24d10m47.26s",-24.1797939,-15.78659,13.45534,-1.86049,287.18685,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",156.5457503,0.121253,-0.121253,118.552,0.126467,-0.126467,-102.235,0.113866,-0.113866,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",27.4573,0.0578,-0.0577,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",36.3915,0.0760459,-0.0760459,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",6.772,0.023,-0.023,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",6.25,0.03,-0.03,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",5.296,0.027,-0.027,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",5.101,0.044,-0.044,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",4.936,0.018,-0.018,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",,,,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",,,,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",,,,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",,,,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",,,,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",4.94,0.185,-0.185,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",4.801,0.108,-0.108,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",4.976,0.015,-0.015,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",4.93,0.031,-0.031,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",6.1106,0.0009542,-0.0009542,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",5.65,,,"<a refstr=COUSINS_1980A href=https://ui.adsabs.harvard.edu/abs/1980SAAOC...1..166C/abstract target=ref> Cousins 1980a </a>",5.7365,0.0061,-0.0061,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",,,,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",2,1,5,3,0,0
5078530,1125,"HIP 57274 b","HIP 57274","b",,"HIP 57274","Gaia DR2 4021079911593673600",1,3,0,0,"Radial Velocity",2011,"<a refstr=FISCHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...21F/abstract target=ref> Fischer et al. 2012 </a>","2012-01","Ground","W. M. Keck Observatory","10 m Keck I Telescope","HIRES Spectrometer",1,0,0,0,0,0,0,0,0,0,0,8.1352,0.004,-0.004,0,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",0.07,0,0,0,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",2.4,,,0,"<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>",0.214,,,0,"<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>",6.3566,3.1783,-3.1783,0,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",0.02,0.01,-0.01,0,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>","Msini",2.53,,,0,"<a refstr=CALCULATED_VALUE href=/docs/composite_calc.html target=_blank>Calculated Value</a>",0.19,0.1,-0.1,0,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",,,,,,,,,,,,,,,,2455801.779,0.271,-0.271,0,"HJD","<a refstr=FISCHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...21F/abstract target=ref> Fischer et al. 2012 </a>",0,,,,,,,,,,,3.08,0.35,-0.35,0,"<a refstr=FISCHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...21F/abstract target=ref> Fischer et al. 2012 </a>",,,,,,,,,,,,,,,,2454801.015,1.3,-1.3,0,"HJD","<a refstr=FISCHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...21F/abstract target=ref> Fischer et al. 2012 </a>",81,59,-59,0,"<a refstr=FISCHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...21F/abstract target=ref> Fischer et al. 2012 </a>",4.6,0.5,-0.5,0,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",,,,,,,,,,,"K4 V","<a refstr=FISCHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...21F/abstract target=ref> Fischer et al. 2012 </a>",4510,136,-136,0,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",0.78,0.05,-0.05,0,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",0.29,0.3,-0.3,0,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",0.01,0.05,-0.05,0,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>","[Fe/H]",0.19,0.01,-0.01,0,"<a refstr=FISCHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...21F/abstract target=ref> Fischer et al. 2012 </a>",4.11,0.46,-0.46,0,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",7.87,5,-5,0,"<a refstr=FISCHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...21F/abstract target=ref> Fischer et al. 2012 </a>",1.96681,0.72847,-0.54641,0,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",0.5,0.5,-0.5,0,"<a refstr=FISCHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...21F/abstract target=ref> Fischer et al. 2012 </a>",,,,,,-4.7,,,0,"<a refstr=FISCHER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...21F/abstract target=ref> Fischer et al. 2012 </a>","11h44m40.93s",176.1705487,"+30d57m27.53s",30.9576484,74.93234,194.2528,26.69077,163.27157,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",382.6666017,0.0786613,-0.0786613,-27.069,0.0808313,-0.0808313,-381.708,0.0786502,-0.0786502,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",25.8618,0.0337,-0.0335,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",38.6381,0.0498639,-0.0498639,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",10.106,0.034,-0.034,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",8.97,0.03,-0.03,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",6.958,0.019,-0.019,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",6.408,0.018,-0.018,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",6.286,0.021,-0.021,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",,,,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",,,,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",,,,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",,,,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",,,,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",6.222,0.086,,"<a refstr=CUTRI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014yCat.2328....0C/abstract target=ref> Cutri et al. 2014 </a>",6.249,0.038,,"<a refstr=CUTRI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014yCat.2328....0C/abstract target=ref> Cutri et al. 2014 </a>",6.265,0.016,,"<a refstr=CUTRI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014yCat.2328....0C/abstract target=ref> Cutri et al. 2014 </a>",6.208,,,"<a refstr=CUTRI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014yCat.2328....0C/abstract target=ref> Cutri et al. 2014 </a>",8.57069,0.000434,-0.000434,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",,,,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",7.9003,0.006,-0.006,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",,,,"<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>",1,1,0,1,0,0
