istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,ID,qcs,mission,tstamp,dur_detrend,lc_n,real?,note
,,,,,,,,,,15785,HATS-57,31,TESS,05_02_2021_08_08_49,2.07028099999999,1,,
,,,,,,,,,,14406,HATS-6,6,TESS,04_02_2021_11_51_00,1.91734299999999,0,,
,,,,,,,,,,85585,HATS-60,29,TESS,04_02_2021_13_30_29,42.964215,0,,
,,,,,,,,,,14244,HATS-60,29,TESS,04_02_2021_13_30_50,2.14995999999996,1,,
,,,,,,,,,,95912,HATS-61,31,TESS,04_02_2021_12_06_51,45.939878,0,,
,,,,,,,,,,15964,HATS-61,31,TESS,04_02_2021_12_06_55,2.53366400000004,1,,
,,,,,,,,,,95766,HATS-63,31,TESS,05_02_2021_08_09_46,45.296435,0,,
,,,,,,,,,,15940,HATS-63,31,TESS,05_02_2021_08_10_09,2.580535,1,,
65950,65953,3684142,3684145,2080.26829803718,2080.26899248691,12.8017667019102,0.147056774082113,0.451395092686605,0.000694449727234,88067,HATS-68,28,TESS,05_02_2021_10_56_53,49.059474,0,1,checked TPF
,,,,,,,,,,88813,HATS-68,29,TESS,05_02_2021_10_57_48,42.9300460000001,0,,
,,,,,,,,,,13486,HATS-7,11,TESS,05_02_2021_08_41_08,2.14847899999995,0,,
,,,,,,,,,,17674,HATS-71,1,TESS,05_02_2021_08_51_25,3.09516099999996,0,,
,,,,,,,,,,17965,HATS-71,2,TESS,05_02_2021_08_51_48,2.68993999999998,0,,
,,,,,,,,,,14874,HATS-71,28,TESS,05_02_2021_08_52_10,2.08257600000002,0,,
,,,,,,,,,,15136,HATS-71,29,TESS,05_02_2021_08_52_33,2.28954700000008,0,,
,,,,,,,,,,14677,HD 118203,15,TESS,05_02_2021_10_41_11,2.27789200000001,0,,
,,,,,,,,,,14175,HD 118203,16,TESS,05_02_2021_10_41_30,2.75497000000001,0,,
,,,,,,,,,,17152,HD 118203,22,TESS,05_02_2021_10_41_50,4.041133,0,,
,,,,,,,,,,15625,HD 136352,12,TESS,04_02_2021_13_17_52,2.90125,0,,
,,,,,,,,,,17608,HD 1397,1,TESS,05_02_2021_11_21_04,4.47087899999997,0,,
,,,,,,,,,,15147,HD 149026,24,TESS,05_02_2021_09_04_46,2.3032740000001,0,,
,,,,,,,,,,16459,HD 149026,25,TESS,05_02_2021_09_05_07,2.50724100000002,0,,
9618,9621,3847653,3847656,2118.11913506483,2118.11982952759,0.262907124538548,0.028622989468913,0.005355229732709,0.000694462761658,99410,HD 15337,30,TESS,04_02_2021_13_11_59,74.301098,0,1,
79210,79213,3930413,3930416,2137.2767851253,2137.27747956897,1.00496555563285,0.020339537593547,0.043709449158249,0.000694443668181,99410,HD 15337,30,TESS,04_02_2021_13_11_59,74.301098,0,1,
81430,81433,3933002,3933005,2137.87608951348,2137.87678395621,0.286446356521847,0.030720166893657,0.006001761429834,0.000694442738677,99410,HD 15337,30,TESS,04_02_2021_13_11_59,74.301098,0,1,
86379,86382,3937951,3937954,2139.02168757946,2139.02238202081,0.884096807468533,0.02288647497601,0.033114565664335,0.000694441340329,99410,HD 15337,30,TESS,04_02_2021_13_11_59,74.301098,0,1,
,,,,,,,,,,13120,HD 15337,3,TESS,04_02_2021_13_10_59,2.158726,0,,
,,,,,,,,,,15328,HD 15337,4,TESS,04_02_2021_13_11_19,3.185318,0,,
,,,,,,,,,,16239,HD 15337,30,TESS,04_02_2021_13_12_54,3.203349,1,,
,,,,,,,,,,13051,HD 158259,17,TESS,05_02_2021_08_25_31,1.73359499999992,0,,
,,,,,,,,,,16901,HD 158259,20,TESS,05_02_2021_08_25_49,2.90338800000006,0,,
,,,,,,,,,,15450,HD 158259,24,TESS,05_02_2021_08_26_12,2.14518399999997,0,,
,,,,,,,,,,14900,HD 158259,25,TESS,05_02_2021_08_26_34,2.06636200000003,0,,
,,,,,,,,,,16283,HD 158259,26,TESS,05_02_2021_08_26_54,2.90840900000001,0,,
,,,,,,,,,,14743,HD 17156,18,TESS,05_02_2021_10_44_27,2.36561900000004,0,,
,,,,,,,,,,16684,HD 17156,19,TESS,05_02_2021_10_44_46,4.17696899999999,0,,
,,,,,,,,,,17158,HD 17156,25,TESS,05_02_2021_10_45_08,2.86930100000006,0,,
26329,26332,3632568,3632571,2068.33079451863,2068.33148896044,0.335712427483389,0.016175651474171,0.010288821095502,0.000694441810538,86323,HD 213885,28,TESS,05_02_2021_11_26_07,54.5018789999999,0,1,
,,,,,,,,,,17032,HD 213885,1,TESS,05_02_2021_11_24_16,3.58288800000014,0,,
,,,,,,,,,,94344,HD 213885,27,TESS,05_02_2021_11_24_42,63.0444700000001,0,,
,,,,,,,,,,15715,HD 213885,27,TESS,05_02_2021_11_25_39,4.48677399999997,1,,
,,,,,,,,,,13041,HD 213885,28,TESS,05_02_2021_11_26_56,3.600191,1,,
,,,,,,,,,,14884,HD 219134,17,TESS,05_02_2021_10_39_11,4.50919199999998,0,,
,,,,,,,,,,16922,HD 219134,24,TESS,05_02_2021_10_39_31,5.36496400000004,0,,
57577,57581,3909028,3909032,2132.32353005521,2132.32445597374,0.906677656235697,0.033106535444198,0.024860387802595,0.000925918528083,98848,HD 23472,30,TESS,05_02_2021_11_36_06,65.2832700000004,0,1,
8286,8289,3846602,3846605,2117.87315234343,2117.87384678664,3.26802454601481,0.023624255452412,0.153223827993727,0.000694443203429,98848,HD 23472,30,TESS,05_02_2021_11_36_06,65.2832700000004,0,1,
,,,,,,,,,,17373,HD 23472,1,TESS,05_02_2021_11_33_10,3.13200300000017,0,,
,,,,,,,,,,17593,HD 23472,2,TESS,05_02_2021_11_33_32,3.11727100000007,0,,
,,,,,,,,,,13133,HD 23472,3,TESS,05_02_2021_11_33_53,2.01560100000006,0,,
,,,,,,,,,,15157,HD 23472,4,TESS,05_02_2021_11_34_13,2.30931400000009,0,,
,,,,,,,,,,15504,HD 23472,11,TESS,05_02_2021_11_34_31,2.4032430000002,0,,
