Kepler,Kepler-222,TIC 158625100,08,short
Kepler,Kepler-222,TIC 158625100,09,short
Kepler,Kepler-105,TIC 158625964,03,short
Kepler,Kepler-105,TIC 158625964,05,short
Kepler,Kepler-105,TIC 158625964,04,short
Kepler,Kepler-105,TIC 158625964,08,short
Kepler,Kepler-105,TIC 158625964,06,short
Kepler,Kepler-105,TIC 158625964,07,short
Kepler,Kepler-192,TIC 158626833,07,short
Kepler,Kepler-192,TIC 158626833,08,short
Kepler,Kepler-192,TIC 158626833,09,short
Kepler,Kepler-505,TIC 158631520,06,short
Kepler,Kepler-505,TIC 158631520,07,short
Kepler,Kepler-505,TIC 158631520,08,short
Kepler,Kepler-505,TIC 158631520,09,short
Kepler,Kepler-477,TIC 158633329,03,short
Kepler,Kepler-477,TIC 158633329,04,short
Kepler,Kepler-477,TIC 158633329,05,short
Kepler,Kepler-477,TIC 158633329,06,short
Kepler,Kepler-477,TIC 158633329,07,short
Kepler,Kepler-522,TIC 158657354,06,short
Kepler,Kepler-522,TIC 158657354,08,short
Kepler,Kepler-522,TIC 158657354,07,short
Kepler,Kepler-522,TIC 158657354,09,short
Kepler,Kepler-652,TIC 158660814,08,short
Kepler,Kepler-259,TIC 158664318,07,short
Kepler,Kepler-259,TIC 158664318,08,short
Kepler,Kepler-254,TIC 158665380,09,short
Kepler,Kepler-427,TIC 158668572,04,short
Kepler,Kepler-427,TIC 158668572,05,short
Kepler,Kepler-427,TIC 158668572,06,short
Kepler,Kepler-427,TIC 158668572,07,short
Kepler,Kepler-247,TIC 158792051,07,short
Kepler,Kepler-247,TIC 158792051,09,short
Kepler,Kepler-247,TIC 158792051,08,short
Kepler,Kepler-219,TIC 158838045,08,short
Kepler,Kepler-219,TIC 158838045,09,short
Kepler,Kepler-650,TIC 158934047,08,short
Kepler,Kepler-33,TIC 158935283,07,short
Kepler,Kepler-33,TIC 158935283,09,short
Kepler,Kepler-33,TIC 158935283,08,short
Kepler,Kepler-22,TIC 158984573,02,short
Kepler,Kepler-22,TIC 158984573,09,short
Kepler,Kepler-22,TIC 158984573,05,short
Kepler,Kepler-22,TIC 158984573,03,short
Kepler,Kepler-22,TIC 158984573,04,short
Kepler,Kepler-22,TIC 158984573,06,short
Kepler,Kepler-22,TIC 158984573,07,short
Kepler,Kepler-22,TIC 158984573,08,short
Kepler,Kepler-46,TIC 158992508,07,short
Kepler,Kepler-46,TIC 158992508,09,short
Kepler,Kepler-46,TIC 158992508,08,short
Kepler,Kepler-126,TIC 159046962,05,short
Kepler,Kepler-126,TIC 159046962,06,short
Kepler,Kepler-126,TIC 159046962,07,short
Kepler,Kepler-126,TIC 159046962,08,short
Kepler,Kepler-126,TIC 159046962,09,short
Kepler,Kepler-77,TIC 159098316,03,short
Kepler,Kepler-77,TIC 159098316,04,short
Kepler,Kepler-77,TIC 159098316,05,short
Kepler,Kepler-77,TIC 159098316,06,short
Kepler,Kepler-77,TIC 159098316,07,short
Kepler,Kepler-148,TIC 159171904,07,short
Kepler,Kepler-148,TIC 159171904,09,short
Kepler,Kepler-148,TIC 159171904,08,short
Kepler,Kepler-207,TIC 159217436,08,short
Kepler,Kepler-207,TIC 159217436,09,short
Kepler,Kepler-905,TIC 159225367,09,short
Kepler,Kepler-643,TIC 159311390,08,short
Kepler,Kepler-138,TIC 159376971,06,short
Kepler,Kepler-138,TIC 159376971,07,short
Kepler,Kepler-138,TIC 159376971,08,short
Kepler,Kepler-138,TIC 159376971,09,short
Kepler,Kepler-645,TIC 159381747,08,short
Kepler,Kepler-498,TIC 159384648,06,short
Kepler,Kepler-498,TIC 159384648,07,short
Kepler,Kepler-1749,TIC 159389232,12,short
Kepler,Kepler-1749,TIC 159389232,13,short
Kepler,Kepler-1749,TIC 159389232,16,short
Kepler,Kepler-646,TIC 159441621,08,short
Kepler,Kepler-540,TIC 159452015,07,short
Kepler,Kepler-540,TIC 159452015,08,short
Kepler,Kepler-540,TIC 159452015,09,short
Kepler,Kepler-213,TIC 159521326,08,short
Kepler,Kepler-1744,TIC 159575346,17,short
Kepler,Kepler-502,TIC 159578156,06,short
Kepler,Kepler-502,TIC 159578156,07,short
Kepler,Kepler-839,TIC 159580625,09,short
Kepler,Kepler-224,TIC 159642189,09,short
Kepler,Kepler-527,TIC 159642269,06,short
Kepler,Kepler-527,TIC 159642269,07,short
Kepler,Kepler-783,TIC 159642390,09,short
Kepler,Kepler-209,TIC 159652365,07,short
Kepler,Kepler-209,TIC 159652365,08,short
Kepler,Kepler-209,TIC 159652365,09,short
Kepler,Kepler-100,TIC 159654016,03,short
Kepler,Kepler-100,TIC 159654016,04,short
Kepler,Kepler-100,TIC 159654016,05,short
Kepler,Kepler-100,TIC 159654016,06,short
Kepler,Kepler-100,TIC 159654016,07,short
Kepler,Kepler-100,TIC 159654016,08,short
Kepler,Kepler-100,TIC 159654016,09,short
Kepler,Kepler-145,TIC 159721091,07,short
Kepler,Kepler-145,TIC 159721091,08,short
Kepler,Kepler-145,TIC 159721091,09,short
Kepler,Kepler-220,TIC 159759306,07,short
Kepler,Kepler-220,TIC 159759306,08,short
Kepler,Kepler-271,TIC 164414655,09,short
Kepler,Kepler-511,TIC 164456037,06,short
Kepler,Kepler-511,TIC 164456037,07,short
Kepler,Kepler-658,TIC 164456041,07,short
Kepler,Kepler-658,TIC 164456041,09,short
Kepler,Kepler-658,TIC 164456041,08,short
Kepler,Kepler-62,TIC 164458488,07,short
Kepler,Kepler-62,TIC 164458488,09,short
Kepler,Kepler-62,TIC 164458488,08,short
Kepler,Kepler-410 A,TIC 164458714,01,short
Kepler,Kepler-410 A,TIC 164458714,09,short
Kepler,Kepler-410 A,TIC 164458714,03,short
Kepler,Kepler-410 A,TIC 164458714,04,short
Kepler,Kepler-410 A,TIC 164458714,05,short
Kepler,Kepler-410 A,TIC 164458714,06,short
Kepler,Kepler-410 A,TIC 164458714,07,short
Kepler,Kepler-410 A,TIC 164458714,08,short
Kepler,Kepler-1721,TIC 164527535,07,short
Kepler,Kepler-1721,TIC 164527535,16,short
Kepler,Kepler-1721,TIC 164527535,15,short
Kepler,Kepler-1721,TIC 164527535,14,short
Kepler,Kepler-1721,TIC 164527535,13,short
Kepler,Kepler-1721,TIC 164527535,12,short
Kepler,Kepler-1721,TIC 164527535,10,short
Kepler,Kepler-1721,TIC 164527535,08,short
Kepler,Kepler-1721,TIC 164527535,17,short
Kepler,Kepler-732,TIC 164555597,09,short
Kepler,Kepler-617,TIC 164557035,07,short
Kepler,Kepler-617,TIC 164557035,09,short
Kepler,Kepler-617,TIC 164557035,08,short
Kepler,Kepler-661,TIC 164557360,07,short
Kepler,Kepler-661,TIC 164557360,08,short
Kepler,Kepler-648,TIC 164560223,08,short
Kepler,Kepler-37,TIC 164652245,05,short
Kepler,Kepler-37,TIC 164652245,06,short
Kepler,Kepler-37,TIC 164652245,07,short
Kepler,Kepler-37,TIC 164652245,08,short
Kepler,Kepler-37,TIC 164652245,09,short
Kepler,Kepler-523,TIC 164654277,06,short
Kepler,Kepler-523,TIC 164654277,09,short
Kepler,Kepler-523,TIC 164654277,08,short
Kepler,Kepler-523,TIC 164654277,07,short
Kepler,Kepler-484,TIC 164721759,03,short
Kepler,Kepler-484,TIC 164721759,04,short
Kepler,Kepler-484,TIC 164721759,05,short
Kepler,Kepler-484,TIC 164721759,06,short
Kepler,Kepler-484,TIC 164721759,07,short
Kepler,Kepler-465,TIC 164725204,03,short
Kepler,Kepler-465,TIC 164725204,04,short
Kepler,Kepler-465,TIC 164725204,05,short
Kepler,Kepler-465,TIC 164725204,06,short
Kepler,Kepler-465,TIC 164725204,07,short
Kepler,Kepler-95,TIC 164726946,03,short
Kepler,Kepler-95,TIC 164726946,06,short
Kepler,Kepler-95,TIC 164726946,04,short
Kepler,Kepler-95,TIC 164726946,05,short
Kepler,Kepler-95,TIC 164726946,07,short
Kepler,Kepler-95,TIC 164726946,08,short
Kepler,Kepler-95,TIC 164726946,09,short
Kepler,Kepler-1274,TIC 164781116,03,short
Kepler,Kepler-214,TIC 164785720,08,short
Kepler,Kepler-647,TIC 164786172,08,short
Kepler,Kepler-196,TIC 164828012,07,short
Kepler,Kepler-196,TIC 164828012,08,short
Kepler,Kepler-504,TIC 164832454,06,short
Kepler,Kepler-504,TIC 164832454,09,short
Kepler,Kepler-504,TIC 164832454,08,short
Kepler,Kepler-504,TIC 164832454,07,short
Kepler,Kepler-26,TIC 164833065,06,short
Kepler,Kepler-26,TIC 164833065,07,short
Kepler,Kepler-26,TIC 164833065,08,short
Kepler,Kepler-26,TIC 164833065,09,short
Kepler,Kepler-127,TIC 164881786,04,short
Kepler,Kepler-127,TIC 164881786,06,short
Kepler,Kepler-127,TIC 164881786,07,short
Kepler,Kepler-127,TIC 164881786,08,short
Kepler,Kepler-127,TIC 164881786,09,short
Kepler,Kepler-55,TIC 164884002,07,short
Kepler,Kepler-55,TIC 164884002,09,short
Kepler,Kepler-55,TIC 164884002,08,short
Kepler,Kepler-43,TIC 164892194,03,short
Kepler,Kepler-43,TIC 164892194,05,short
Kepler,Kepler-43,TIC 164892194,07,short
Kepler,Kepler-43,TIC 164892194,06,short
Kepler,Kepler-43,TIC 164892194,04,short
Kepler,Kepler-129,TIC 164999822,06,short
Kepler,Kepler-129,TIC 164999822,07,short
Kepler,Kepler-631,TIC 168816237,08,short
Kepler,Kepler-96,TIC 169081296,02,short
Kepler,Kepler-96,TIC 169081296,09,short
Kepler,Kepler-96,TIC 169081296,08,short
Kepler,Kepler-96,TIC 169081296,07,short
Kepler,Kepler-96,TIC 169081296,06,short
Kepler,Kepler-96,TIC 169081296,05,short
Kepler,Kepler-96,TIC 169081296,03,short
Kepler,Kepler-159,TIC 169082553,07,short
Kepler,Kepler-159,TIC 169082553,09,short
Kepler,Kepler-159,TIC 169082553,08,short
Kepler,Kepler-203,TIC 169084431,07,short
Kepler,Kepler-203,TIC 169084431,08,short
Kepler,Kepler-11,TIC 169175503,03,short
Kepler,Kepler-11,TIC 169175503,04,short
Kepler,Kepler-11,TIC 169175503,05,short
Kepler,Kepler-11,TIC 169175503,06,short
Kepler,Kepler-11,TIC 169175503,07,short
Kepler,Kepler-11,TIC 169175503,08,short
Kepler,Kepler-11,TIC 169175503,09,short
Kepler,Kepler-501,TIC 169176340,06,short
Kepler,Kepler-501,TIC 169176340,07,short
Kepler,Kepler-632,TIC 169181786,08,short
Kepler,KOI-12,TIC 169461816,00,short
Kepler,KOI-12,TIC 169461816,09,short
Kepler,KOI-12,TIC 169461816,02,short
Kepler,KOI-12,TIC 169461816,03,short
Kepler,KOI-12,TIC 169461816,04,short
Kepler,KOI-12,TIC 169461816,05,short
Kepler,KOI-12,TIC 169461816,06,short
Kepler,KOI-12,TIC 169461816,07,short
Kepler,KOI-12,TIC 169461816,08,short
Kepler,Kepler-99,TIC 169462917,06,short
Kepler,Kepler-99,TIC 169462917,07,short
Kepler,Kepler-99,TIC 169462917,08,short
Kepler,Kepler-99,TIC 169462917,09,short
Kepler,Kepler-433,TIC 169556484,04,short
Kepler,Kepler-433,TIC 169556484,05,short
Kepler,Kepler-433,TIC 169556484,06,short
Kepler,Kepler-433,TIC 169556484,07,short
Kepler,Kepler-539,TIC 171510762,04,short
Kepler,Kepler-539,TIC 171510762,07,short
Kepler,Kepler-48,TIC 171882123,03,short
Kepler,Kepler-48,TIC 171882123,05,short
Kepler,Kepler-48,TIC 171882123,06,short
Kepler,Kepler-48,TIC 171882123,07,short
Kepler,Kepler-48,TIC 171882123,08,short
Kepler,Kepler-48,TIC 171882123,09,short
Kepler,Kepler-519,TIC 171971913,06,short
Kepler,Kepler-519,TIC 171971913,09,short
Kepler,Kepler-519,TIC 171971913,08,short
Kepler,Kepler-519,TIC 171971913,07,short
Kepler,Kepler-516,TIC 184085929,04,short
Kepler,Kepler-516,TIC 184085929,09,short
Kepler,Kepler-516,TIC 184085929,08,short
Kepler,Kepler-516,TIC 184085929,07,short
Kepler,Kepler-199,TIC 184090767,08,short
Kepler,Kepler-80,TIC 184296619,07,short
Kepler,Kepler-80,TIC 184296619,09,short
Kepler,Kepler-80,TIC 184296619,08,short
Kepler,Kepler-472,TIC 184554925,03,short
Kepler,Kepler-472,TIC 184554925,09,short
Kepler,Kepler-472,TIC 184554925,08,short
Kepler,Kepler-472,TIC 184554925,07,short
Kepler,Kepler-472,TIC 184554925,05,short
Kepler,Kepler-472,TIC 184554925,04,short
Kepler,Kepler-106,TIC 184997417,03,short
Kepler,Kepler-106,TIC 184997417,09,short
Kepler,Kepler-106,TIC 184997417,04,short
Kepler,Kepler-106,TIC 184997417,05,short
Kepler,Kepler-106,TIC 184997417,06,short
Kepler,Kepler-106,TIC 184997417,07,short
Kepler,Kepler-106,TIC 184997417,08,short
Kepler,Kepler-172,TIC 237157751,07,short
Kepler,Kepler-172,TIC 237157751,08,short
Kepler,Kepler-132,TIC 237158274,06,short
Kepler,Kepler-132,TIC 237158274,08,short
Kepler,Kepler-132,TIC 237158274,07,short
Kepler,Kepler-1755,TIC 239225129,10,short
Kepler,Kepler-1755,TIC 239225129,16,short
Kepler,Kepler-1755,TIC 239225129,15,short
Kepler,Kepler-1755,TIC 239225129,14,short
Kepler,Kepler-1755,TIC 239225129,17,short
Kepler,Kepler-1755,TIC 239225129,13,short
Kepler,Kepler-1755,TIC 239225129,12,short
Kepler,Kepler-1755,TIC 239225129,11,short
Kepler,Kepler-755,TIC 239227652,09,short
Kepler,Kepler-171,TIC 239229224,09,short
Kepler,Kepler-44,TIC 239277658,04,short
Kepler,Kepler-44,TIC 239277658,05,short
