istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,ID,qcs,mission,tstamp,dur_detrend,lc_n
,,,,,,,,,,14540,WASP-19,9,TESS,04_02_2021_11_51_20,2.8831270000000018,0
,,,,,,,,,,15214,WASP-138,4,TESS,04_02_2021_11_51_42,2.5488479999999925,0
7496,7499,3969199,3969202,2146.25604825342,2146.2567427078015,0.7477370719322709,0.11263114410920229,0.014665522456399627,0.0006944543815734505,92798.0,WASP-138,31,TESS,04_02_2021_11_52_57,59.91812600000003,0
,,,,,,,,,,14567,CoRoT-4,6,TESS,04_02_2021_11_53_31,2.0709509999999796,0
,,,,,,,,,,14833,LTT 3780,9,TESS,04_02_2021_11_53_51,2.1252379999999675,0
,,,,,,,,,,14643,WASP-43,9,TESS,04_02_2021_11_54_10,2.460778000000005,0
,,,,,,,,,,14076,CoRoT-18,6,TESS,04_02_2021_11_54_29,1.959263999999962,0
,,,,,,,,,,17079,WASP-100,1,TESS,04_02_2021_11_54_53,2.5447790000000055,0
,,,,,,,,,,17264,WASP-100,2,TESS,04_02_2021_11_55_12,2.3273810000000026,0
,,,,,,,,,,12719,WASP-100,3,TESS,04_02_2021_11_55_32,2.122255999999993,0
,,,,,,,,,,15048,WASP-100,4,TESS,04_02_2021_11_55_52,2.058899999999994,0
,,,,,,,,,,16914,WASP-100,5,TESS,04_02_2021_11_56_12,3.1525630000000433,0
,,,,,,,,,,14071,WASP-100,6,TESS,04_02_2021_11_56_32,1.727931999999953,0
,,,,,,,,,,15505,WASP-100,7,TESS,04_02_2021_11_56_56,2.5399130000000127,0
,,,,,,,,,,14219,WASP-100,9,TESS,04_02_2021_11_57_37,2.2839500000000044,0
,,,,,,,,,,15362,WASP-100,10,TESS,04_02_2021_11_58_00,2.4702100000000087,0
,,,,,,,,,,15255,WASP-100,11,TESS,04_02_2021_11_58_20,1.9864659999999503,0
,,,,,,,,,,18037,WASP-100,12,TESS,04_02_2021_11_58_41,2.47144499999996,0
,,,,,,,,,,18531,WASP-100,13,TESS,04_02_2021_11_59_04,3.1776780000000144,0
12155,12158,3507084,3507087,2039.2797376219316,2039.280432076914,0.9942098742596807,0.02418184947038136,0.030204063258591818,0.000694454982294701,91621.0,WASP-100,27,TESS,04_02_2021_12_00_19,57.16366500000004,0
,,,,,,,,,,15264,WASP-100,27,TESS,04_02_2021_12_00_23,2.6091949999999997,1
