"istart","istop","cstart","cstop","tstart","tstop","ed_rec","ed_rec_err","ampl_rec","dur","phase","total_n_valid_data_points","ID","TIC","qcs","mission","tstamp","lc_n","w","mask_pos_outliers_sigma","real","note"
,,,,,,,,,,-1,12341,"K2-177","TIC 114031109",42,"TESS","2022_07_28",1,59,2.5,-1,
,,,,,,,,,,-1,101252,"HATS-55","TIC 114299824",34,"TESS","2022_07_28",1,361,2.5,-1,
,,,,,,,,,,-1,87633,"WASP-147","TIC 114749636",29,"TESS","2022_07_28",1,361,2.5,-1,
,,,,,,,,,,-1,16623,"K2-200","TIC 115072772",46,"TESS","2022_07_28",1,59,2.5,-1,
,,,,,,,,,,-1,10699,"WASP-148","TIC 115524421",51,"TESS","2022_07_28",1,59,2.5,-1,
,,,,,,,,,,-1,16514,"WASP-148","TIC 115524421",52,"TESS","2022_07_28",2,61,2.5,-1,
,,,,,,,,,,-1,15273,"HATS-77","TIC 11561667",9,"TESS","2022_07_28",1,61,2.5,-1,
,,,,,,,,,,-1,13659,"HATS-77","TIC 11561667",35,"TESS","2022_07_28",2,61,2.5,-1,
,,,,,,,,,,-1,89548,"WASP-190","TIC 116156517",29,"TESS","2022_07_28",1,361,2.5,-1,
,,,,,,,,,,-1,17246,"KELT-12","TIC 116242971",25,"TESS","2022_07_28",1,59,2.5,-1,
,,,,,,,,,,-1,16942,"KELT-12","TIC 116242971",26,"TESS","2022_07_28",2,61,2.5,-1,
,,,,,,,,,,-1,19611,"KELT-12","TIC 116242971",40,"TESS","2022_07_28",3,61,2.5,-1,
,,,,,,,,,,-1,13691,"KELT-12","TIC 116242971",53,"TESS","2022_07_28",4,61,2.5,-1,
,,,,,,,,,,-1,17246,"TrES-3","TIC 116264089",25,"TESS","2022_07_28",1,59,2.5,-1,
,,,,,,,,,,-1,16941,"TrES-3","TIC 116264089",26,"TESS","2022_07_28",2,61,2.5,-1,
,,,,,,,,,,-1,19611,"TrES-3","TIC 116264089",40,"TESS","2022_07_28",3,61,2.5,-1,
,,,,,,,,,,-1,16644,"TrES-3","TIC 116264089",52,"TESS","2022_07_28",4,59,2.5,-1,
,,,,,,,,,,-1,17305,"TrES-3","TIC 116264089",53,"TESS","2022_07_28",5,61,2.5,-1,
,,,,,,,,,,-1,15458,"TOI-1411","TIC 116483514",16,"TESS","2022_07_28",1,61,2.5,-1,
,,,,,,,,,,-1,15272,"TOI-1411","TIC 116483514",23,"TESS","2022_07_28",2,59,2.5,-1,
,,,,,,,,,,-1,18217,"TOI-1411","TIC 116483514",24,"TESS","2022_07_28",3,61,2.5,-1,
,,,,,,,,,,-1,12592,"TOI-1411","TIC 116483514",50,"TESS","2022_07_28",4,61,2.5,-1,
,,,,,,,,,,-1,12267,"TOI-1411","TIC 116483514",51,"TESS","2022_07_28",5,61,2.5,-1,
57785,57788,5569497,5569500,2516.68971051235,2516.69040502733,5.12218956604034,0.17307270453857,0.17513600987563,0.000694514983934,0.854584320883397,91175,"K2-348","TIC 117275513",44,"TESS","2022_07_28",1,359,2.5,0,
,,,,,,,,,,-1,92900,"K2-348","TIC 117275513",45,"TESS","2022_07_28",2,359,2.5,-1,
80426,80429,5818081,5818084,2574.23712347048,2574.23781795233,4.61702525865361,0.204213258955463,0.117299318847062,0.000694481851951,0.128961937838781,99734,"K2-348","TIC 117275513",46,"TESS","2022_07_28",3,359,2.5,,
,,,,,,,,,,-1,17355,"K2-376","TIC 117414377",21,"TESS","2022_07_28",1,61,2.5,-1,
,,,,,,,,,,-1,15121,"K2-376","TIC 117414377",44,"TESS","2022_07_28",2,59,2.5,-1,
,,,,,,,,,,-1,16036,"K2-376","TIC 117414377",45,"TESS","2022_07_28",3,59,2.5,-1,
,,,,,,,,,,-1,16731,"K2-376","TIC 117414377",46,"TESS","2022_07_28",4,59,2.5,-1,
,,,,,,,,,,-1,17188,"WASP-141","TIC 117979897",5,"TESS","2022_07_28",1,61,2.5,-1,
,,,,,,,,,,-1,105437,"WASP-141","TIC 117979897",32,"TESS","2022_07_28",2,361,2.5,-1,
,,,,,,,,,,-1,82054,"WASP-170","TIC 118956453",35,"TESS","2022_07_28",1,361,2.5,-1,
,,,,,,,,,,-1,19611,"Kepler-1062","TIC 120043084",40,"TESS","2022_07_28",1,61,2.5,-1,
,,,,,,,,,,-1,18322,"Kepler-1062","TIC 120043084",41,"TESS","2022_07_28",2,61,2.5,-1,
,,,,,,,,,,-1,16994,"Kepler-1062","TIC 120043084",53,"TESS","2022_07_28",3,59,2.5,-1,
,,,,,,,,,,-1,19611,"Kepler-1310","TIC 120043638",40,"TESS","2022_07_28",1,61,2.5,-1,
,,,,,,,,,,-1,18322,"Kepler-1310","TIC 120043638",41,"TESS","2022_07_28",2,61,2.5,-1,
,,,,,,,,,,-1,16994,"Kepler-1310","TIC 120043638",53,"TESS","2022_07_28",3,59,2.5,-1,
12850,12853,1311365,1311368,1009.98097279717,1009.98301601125,6.67841410777737,0.243596923528386,0.047052251579923,0.002043214080913,-1,45188,"Kepler-236","TIC 120044687",11,"Kepler","2022_07_28",1,123,2.5,0.5,
,,,,,,,,,,-1,43543,"Kepler-236","TIC 120044687",11,"Kepler","2022_07_28",1,123,2.5,-1,
,,,,,,,,,,-1,46311,"Kepler-236","TIC 120044687",11,"Kepler","2022_07_28",1,123,2.5,-1,
,,,,,,,,,,-1,34037,"Kepler-236","TIC 120044687",12,"Kepler","2022_07_28",4,123,2.5,-1,
,,,,,,,,,,-1,39984,"Kepler-236","TIC 120044687",12,"Kepler","2022_07_28",4,123,2.5,-1,
,,,,,,,,,,-1,32946,"Kepler-236","TIC 120044687",12,"Kepler","2022_07_28",4,123,2.5,-1,
,,,,,,,,,,-1,34810,"Kepler-236","TIC 120044687",14,"Kepler","2022_07_28",7,125,2.5,-1,
24818,24822,1771091,1771095,1323.11108248019,1323.1138068618,9.75234181738889,0.273501194517272,0.079532914302616,0.00272438160755,-1,44148,"Kepler-236","TIC 120044687",14,"Kepler","2022_07_28",7,123,2.5,0,
488,495,1792219,1792226,1337.50161651486,1337.50638423337,9.06983210625637,0.460726651513785,0.031583577593395,0.004767718513904,0.860884450209727,49958,"Kepler-236","TIC 120044687",14,"Kepler","2022_07_28",7,123,2.5,0,
,,,,,,,,,,-1,44875,"Kepler-236","TIC 120044687",15,"Kepler","2022_07_28",10,123,2.5,-1,
,,,,,,,,,,-1,35655,"Kepler-236","TIC 120044687",15,"Kepler","2022_07_28",10,123,2.5,-1,
,,,,,,,,,,-1,51069,"Kepler-236","TIC 120044687",15,"Kepler","2022_07_28",10,123,2.5,-1,
,,,,,,,,,,-1,7622,"Kepler-236","TIC 120044687",16,"Kepler","2022_07_28",13,123,2.5,-1,
,,,,,,,,,,-1,52751,"Kepler-236","TIC 120044687",16,"Kepler","2022_07_28",13,123,2.5,-1,
,,,,,,,,,,-1,46462,"Kepler-236","TIC 120044687",16,"Kepler","2022_07_28",13,123,2.5,-1,
,,,,,,,,,,-1,19611,"Kepler-236","TIC 120044687",40,"TESS","2022_07_28",16,61,2.5,-1,
,,,,,,,,,,-1,18322,"Kepler-236","TIC 120044687",41,"TESS","2022_07_28",17,61,2.5,-1,
,,,,,,,,,,-1,16994,"Kepler-236","TIC 120044687",53,"TESS","2022_07_28",18,59,2.5,-1,
,,,,,,,,,,-1,19611,"Kepler-971","TIC 120105003",40,"TESS","2022_07_28",1,61,2.5,-1,
,,,,,,,,,,-1,18322,"Kepler-971","TIC 120105003",41,"TESS","2022_07_28",2,61,2.5,-1,
,,,,,,,,,,-1,16994,"Kepler-971","TIC 120105003",53,"TESS","2022_07_28",3,59,2.5,-1,
,,,,,,,,,,-1,16994,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_28",1,59,2.5,-1,
11865,11871,1856948,1856954,1381.58843919254,1381.59252573235,0.794139055247903,0.080389039417105,0.003760017759427,0.004086539811397,0.042199972344274,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
11968,11971,1857051,1857054,1381.65859184117,1381.66063496085,0.303631084219856,0.053782968208329,0.001827438054338,0.002043119675363,0.051939558734319,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
12853,12858,1857936,1857941,1382.26135932877,1382.26476489443,0.750492534332549,0.069509712619955,0.003156793967068,0.003405565657886,0.135624296696153,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
16590,16597,1861687,1861694,1384.81613913929,1384.82090684708,1.3718201415581,0.102841643791699,0.004937627327265,0.004767707796418,0.4903150910627,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
16603,16616,1861700,1861713,1384.82499338235,1384.83384752543,2.92522438325482,0.124853218427724,0.007696186417522,0.008854143074132,0.491544362757363,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
18029,18033,1863126,1863130,1385.79623148159,1385.798955771,0.40395823920262,0.066100018426387,0.001754028125161,0.002724289406615,0.626385420886313,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
21111,21115,1866312,1866316,1387.96619132539,1387.96891581293,0.738764070611628,0.080627886295586,0.004239572213918,0.002724487538217,0.927650045560366,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
21274,21291,1866475,1866492,1388.07720934188,1388.08878786365,4.20430681517249,0.111812677037796,0.007711258030725,0.011578521771298,0.94306314233525,44875,"Kepler-1627","TIC 120105470",15,"Kepler","2022_07_29",1,123,2.5,1,
