istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,ID,qcs,mission,tstamp,dur_detrend,lc_n,real?,note,final
4539,4548,75140,75149,1331.82223907409,1331.83473900928,1.6244996786006,0.049247905508484,0.002877318759846,0.012499935192409,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
4895,4901,75516,75522,1332.34445844819,1332.35279173397,0.782451087479596,0.03855363190502,0.002211515604555,0.008333285781191,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
4982,4987,75614,75619,1332.48056877099,1332.48751317487,0.280676716173804,0.037683264281766,0.000672836998365,0.006944403886337,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0.5,marginal detection,0
5083,5088,75717,75722,1332.62362347718,1332.63056788013,0.811291589052141,0.035676595669447,0.003414623387132,0.006944402955014,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
5345,5349,76002,76006,1333.01945435157,1333.0250098717,0.543475941700738,0.032886386660695,0.00159522392912,0.005555520129292,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
5454,5463,76111,76120,1333.17084225787,1333.18334217583,0.787029011351583,0.045026065506746,0.001358999919924,0.012499917962032,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,has tail,0
5467,5472,76124,76129,1333.18889769456,1333.19584209333,0.328417226406599,0.037545166353159,0.000669170120602,0.006944398764745,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,tail of previous,0
5964,6003,76623,76662,1333.88194572137,1333.93611176174,33.2172003265336,0.012010511640902,0.017905958162494,0.054166040373048,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,check TPF,
6132,6153,76792,76813,1334.11666520823,1334.14583153122,5.46472807574672,0.049566948226582,0.005802248916125,0.029166322984565,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
6315,6318,76979,76982,1334.37638434124,1334.38055095755,0.491705178133368,0.029836142441845,0.001854247428803,0.004166616305611,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
6326,6330,76990,76994,1334.39166193514,1334.3972174237,0.352306633198676,0.035774843431804,0.000864380318752,0.005555488563004,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
6486,6492,77151,77157,1334.61527033125,1334.62360356247,0.656472131686904,0.034074908900371,0.001326005360544,0.008333231212646,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
6666,6669,77332,77335,1334.86665611058,1334.87082272549,0.234574201663346,0.034365291583699,0.000834510786745,0.004166614908627,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0.5,marginal detection,0
6783,6786,77474,77477,1335.06387585232,1335.0680424663,0.207104614656547,0.027580534405645,0.000694207405083,0.004166613976622,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,lc noise,1
6817,6892,77508,77585,1335.11109747507,1335.21804055503,76.5607946028541,0.0499532561111,0.031769425898213,0.106943079967095,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,has tail,0
6920,6931,77613,77624,1335.25692894517,1335.27220652649,0.983678250119892,0.041439654550095,0.001625088301558,0.015277581322607,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,tail of previous,0
6943,6950,77636,77643,1335.28887297867,1335.29859507562,0.589779490281126,0.039886431059005,0.001182724515922,0.009722096951009,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,0,tail of previous,0
6978,7002,77687,77711,1335.35970539765,1335.39303829922,22.1068675218998,0.049554228553433,0.033229547099045,0.03333290157002,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
7221,7232,77934,77945,1335.70275646235,1335.71803403762,4.53098581334966,0.042666265016734,0.007501486335003,0.015277575268783,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
7601,7606,78314,78319,1336.2305271321,1336.23747148128,0.914984138039186,0.032640956463838,0.002207899964304,0.006944349177729,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
7824,7827,78537,78540,1336.54024541141,1336.54441203113,0.349227726060733,0.033081279867127,0.001167584022488,0.004166619720536,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
7889,7892,78603,78606,1336.62791103547,1336.63607765426,0.174104469864343,0.026557947030544,0.000550312848462,0.004166618788304,18094,AU Mic,1,TESS,18_02_2021_14_40_23,8.047532,0,1,,1
