Sec.,$t_s$ [BTJD],$t_f$ [BTJD],orb. phase,$ED$ [s],$\sigma_{ED}$ [s],$a$
1,1335.1111,1335.3153,0.558,75.8679,0.0495,0.032
1,1326.6695,1326.7986,0.56,33.7457,0.1302,0.01
27,2037.6731,2037.7191,0.571,30.2496,0.0656,0.043
1,1326.8084,1326.832,0.577,0.9577,0.0564,0.001
27,2037.7194,2037.7328,0.577,6.4228,0.0416,0.016
27,2037.7448,2037.7485,0.58,0.5964,0.0255,0.003
1,1335.3597,1335.393,0.587,22.1069,0.0496,0.033
1,1352.3523,1352.362,0.595,1.4959,0.0375,0.005
27,2037.9106,2037.9113,0.599,0.0847,0.0106,0.002
27,2046.4069,2046.4076,0.603,0.1185,0.01,0.003
1,1327.2111,1327.2431,0.624,1.3158,0.063,0.001
1,1335.7028,1335.718,0.628,4.531,0.0427,0.008
1,1327.4375,1327.4514,0.651,0.6613,0.0384,0.001
1,1327.4695,1327.4792,0.655,0.6598,0.0448,0.001
27,2046.8666,2046.8698,0.658,0.4626,0.0215,0.003
1,1344.4734,1344.4804,0.664,0.3695,0.041,0.001
1,1344.5165,1344.5248,0.669,0.6813,0.0423,0.002
27,2046.9687,2046.9694,0.67,0.068,0.0107,0.001
1,1344.5331,1344.5415,0.671,0.6682,0.0491,0.002
27,2038.5451,2038.5458,0.674,0.1344,0.0093,0.004
1,1336.2305,1336.2375,0.69,0.915,0.0326,0.002
27,2047.2134,2047.2525,0.699,6.0576,0.0443,0.012
1,1344.8151,1344.8317,0.704,1.3703,0.0493,0.002
1,1327.8959,1327.9084,0.705,1.6691,0.0399,0.003
27,2047.346,2047.3578,0.714,4.7893,0.04,0.01
27,2055.854,2055.8556,0.72,0.145,0.015,0.001
27,2055.9028,2055.9192,0.725,2.9126,0.0465,0.005
1,1336.5402,1336.5444,0.726,0.3492,0.0331,0.001
1,1345.0123,1345.0248,0.728,0.8895,0.0435,0.002
27,2047.5041,2047.5104,0.733,0.9986,0.0296,0.004
1,1328.1445,1328.1542,0.734,0.924,0.0455,0.002
1,1336.6279,1336.6361,0.737,0.1741,0.0266,0.001
27,2047.5476,2047.5502,0.738,0.281,0.0195,0.002
27,2047.6286,2047.6722,0.748,2.4543,0.0445,0.006
27,2039.1819,2039.1974,0.75,5.6299,0.0451,0.014
1,1345.2137,1345.2331,0.751,0.8235,0.0644,0.001
27,2056.1653,2056.1665,0.756,0.1273,0.0135,0.002
27,2039.2659,2039.2685,0.76,0.5811,0.0185,0.006
1,1345.2928,1345.297,0.761,0.3261,0.0265,0.001
27,2056.2317,2056.2327,0.764,0.1168,0.0111,0.002
27,2056.2702,2056.2734,0.769,1.3526,0.0178,0.012
27,2039.3491,2039.3641,0.769,4.7965,0.0379,0.013
27,2047.8319,2047.8349,0.772,0.6159,0.0199,0.005
