istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,ID,qcs,mission,tstamp,dur_detrend,lc_n,real?,note
455,458,3494574,3494577,2036.38901090069,2036.3897053667,0.094194093400836,0.011512411271976,0.001804179975349,0.000694466012192,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,0,
465,468,3494584,3494587,2036.39132578709,2036.39202025263,0.067365275261248,0.011471856997765,0.001154776710725,0.000694465546303,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,0,
594,599,3494713,3494718,2036.42118781816,2036.42234526136,0.122637193508921,0.014202869094705,0.00193253289916,0.001157443197599,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,1,
1821,1841,3495940,3495960,2036.70522427421,2036.70985404468,1.30440810465474,0.024364225308952,0.007139347987805,0.004629770466181,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,1,
3116,3134,3497235,3497253,2037.00500183259,2037.00916862401,0.478848283537339,0.025764280663013,0.002398532391352,0.004166791416992,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,1,
3713,3718,3497832,3497837,2037.14320040931,2037.14435785111,0.158767027849842,0.01425694032515,0.0020157157317,0.001157441802206,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,1,
3923,3926,3498042,3498045,2037.19181296916,2037.19250743424,0.087201714214748,0.01045016617208,0.001780141916995,0.000694465081096,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,1,
5008,5042,3499128,3499162,2037.44320931076,2037.45107991361,2.87973385704882,0.031525606059583,0.011955749592507,0.007870602852563,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,1,
5057,5060,3499177,3499180,2037.45455223809,2037.45524670317,0.096713341270941,0.011170116537146,0.001761817426206,0.000694465080642,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,0,
5084,5107,3499204,3499227,2037.46080242242,2037.46612665378,0.57063283462881,0.027632025568355,0.002514893788266,0.005324231356099,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,0,
5120,5125,3499240,3499245,2037.46913600153,2037.47029344333,0.137375626371517,0.013167718605292,0.001664511375753,0.001157441801752,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,0,
5224,5236,3499344,3499356,2037.49321078541,2037.49598864527,0.306261971311731,0.0190612786995,0.003359333163367,0.00277785985736,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,0,
5497,5502,3499618,3499623,2037.55663857844,2037.55779601978,0.15305797450891,0.013482751532759,0.002509968725616,0.001157441335181,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,1,
5990,5995,3500111,3500116,2037.6707622977,2037.67191973903,0.139594187303276,0.013768198968445,0.002274818917479,0.001157441336545,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,0,
6000,6258,3500121,3500379,2037.67307718037,2037.73280114985,36.7404413998718,0.075529057815453,0.043382283213397,0.059723969484594,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,1,double flare that can be separated
6262,6294,3500383,3500415,2037.73372710283,2037.74113472663,0.854446546462761,0.035971062009287,0.002966760817554,0.007407623804056,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,0,
6310,6326,3500431,3500447,2037.74483853854,2037.74854235044,0.596397653515706,0.025514792091537,0.002993323339384,0.003703811902597,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,1,
6331,6339,3500452,3500460,2037.74969979177,2037.75155169773,0.187592471890313,0.017964015762666,0.001550451063151,0.001851905951298,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,0,
7026,7029,3501147,3501150,2037.91058410766,2037.91127857227,0.084683640564135,0.01057296672487,0.001945333478349,0.000694464614753,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,1,
9767,9770,3503888,3503891,2038.54509308021,2038.54578754435,0.134432631752472,0.009343011337634,0.004405065054586,0.000694464149092,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,1,
12518,12585,3506639,3506706,2039.18191652564,2039.19742621552,5.62990096715551,0.045053931863834,0.013460695730039,0.015509689872488,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,1,
12881,12892,3507002,3507013,2039.26594663326,2039.2684930001,0.581080946450891,0.018477977681112,0.005815904242334,0.002546366842125,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,1,
13240,13305,3507361,3507426,2039.34905078185,2039.36409749314,4.79646364991782,0.037866195499426,0.013098338854465,0.015046711288051,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,1,
13317,13320,3507438,3507441,2039.36687534741,2039.3675698111,0.073403037238754,0.010785129806726,0.001694967609262,0.000694463683885,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,0,
13632,13654,3507753,3507775,2039.43979402259,2039.44488675487,0.616774233960361,0.026892105750154,0.003469409263777,0.005092732283174,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,1,
14295,14306,3508416,3508427,2039.59327045343,2039.59581681934,0.242778932388034,0.020045512096393,0.001815655612231,0.002546365909893,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,1,
14314,14332,3508435,3508453,2039.59766872156,2039.60183550227,0.543916301711355,0.02143936828498,0.00528899667092,0.004166780706782,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,1,
15277,15310,3509398,3509431,2039.82059145701,2039.82823055287,1.44790466335109,0.034420968986179,0.005373812715238,0.007639095867489,100736,AU Mic,27,TESS,11_02_2021_08_59_15,66.382899,0,1,
