flare_phase,null_hypothesis_cum_dist,observed_cum_dist
0.0,0.0,0.0013422818791946308
0.001,0.0009803835063672379,0.0026845637583892616
0.002461365545827,0.0024214041689730775,0.004026845637583893
0.003025971076182,0.0029757542904912094,0.005369127516778523
0.004,0.003931944050840381,0.006711409395973154
0.004357527461149001,0.0042858214889079545,0.008053691275167786
0.006,0.0059002323267262095,0.009395973154362415
0.006999999999999999,0.0068864791600766195,0.010738255033557046
0.008,0.007864076670227062,0.012080536912751677
0.008850563630657,0.00868730957248546,0.013422818791946308
0.011472294926256,0.011262181927698338,0.01476510067114094
0.011993995439353,0.011778277637378815,0.016107382550335572
0.013127238206445,0.012897980877078732,0.0174496644295302
0.013973293432758,0.013731358082780051,0.01879194630872483
0.014211547486745,0.013969253150365481,0.020134228187919462
0.015312481233253,0.015054333663996788,0.021476510067114093
0.017527257576216,0.017227525742650192,0.022818791946308724
0.017852582344557,0.01754086035330507,0.024161073825503355
0.018353108334076,0.01802584462499734,0.025503355704697986
0.019552820789278,0.019187959347709078,0.026845637583892617
0.023719615632599,0.023225425712105334,0.028187919463087248
0.024183195784237003,0.02367700534985993,0.02953020134228188
0.027808125489236,0.027243603838020686,0.03087248322147651
0.028566617942578,0.027982253229546127,0.032214765100671144
0.029301729581047004,0.028702399132401503,0.03355704697986577
0.030028788611808997,0.02940467089735949,0.0348993288590604
0.033276961582924,0.03259791381533311,0.036241610738255034
0.037305025383348,0.03655062651437071,0.03758389261744966
0.038,0.0372411892855768,0.038926174496644296
0.038962324152252,0.03819461208137939,0.040268456375838924
0.040306751646131005,0.03952308813569695,0.04161073825503356
0.04131003652958701,0.040517825322898396,0.042953020134228186
0.042199972344274,0.04139735353803206,0.04429530201342282
0.04240813535363,0.041605809449388936,0.04563758389261745
0.043,0.04219176037294397,0.04697986577181208
0.048,0.047132922986334855,0.04832214765100671
0.049,0.04812118644387834,0.049664429530201344
0.052479787059549,0.051514819734375675,0.05100671140939597
0.057,0.05597643149889756,0.052348993288590606
0.05724115446329701,0.05621247001799717,0.053691275167785234
0.058093058123206996,0.05704833579738146,0.05503355704697987
0.061,0.059926533316937855,0.056375838926174496
0.061689425244967996,0.06061116804792358,0.05771812080536913
0.067778799350248,0.06665722974149542,0.05906040268456376
0.068,0.06687577260298076,0.06040268456375839
0.069,0.06787380790646631,0.06174496644295302
0.071,0.06986646322845531,0.06308724832214765
0.071563451628933,0.07042428414809274,0.06442953020134229
0.071605360042394,0.07046571660555709,0.06577181208053691
0.07200000000000001,0.07085980197961834,0.06711409395973154
0.073679329466916,0.0725215113718307,0.06845637583892618
0.075,0.0738368936120771,0.0697986577181208
0.0751,0.07394136359036212,0.07114093959731543
0.076873837984887,0.07569720032780232,0.07248322147651007
0.08192033629977499,0.08068898759202711,0.0738255033557047
0.08199999999999999,0.08076959117062059,0.07516778523489932
0.082206392713996,0.08096962387143382,0.07651006711409396
0.08391689607428302,0.08264511604384452,0.07785234899328859
0.086751475698737,0.08540639324533356,0.07919463087248323
0.08930034658606001,0.08788690634290436,0.08053691275167785
0.091178157315498,0.08971957005383215,0.08187919463087248
0.092709464258915,0.09121930358896646,0.08322147651006712
0.095314750617995,0.09376349947611974,0.08456375838926175
0.098504991148282,0.09699546801888381,0.08590604026845637
0.098841952575109,0.09733199672775127,0.087248322147651
0.10060264543545401,0.0990868370483521,0.08859060402684564
0.10300000000000001,0.1015100289484156,0.08993288590604027
0.103161905117855,0.1016766561507958,0.0912751677852349
0.103917586711712,0.10244160237390462,0.09261744966442953
0.10400000000000001,0.10252608499935983,0.09395973154362416
0.105,0.1035360406746798,0.0953020134228188
0.105,0.1035360406746798,0.09664429530201342
0.105498767327703,0.10404238814222097,0.09798657718120805
0.105577129795672,0.10412075549831024,0.09932885906040269
0.106,0.10454745245178858,0.10067114093959731
0.107,0.10555246002915089,0.10201342281879194
0.11052772284241599,0.1090963173575806,0.10335570469798658
0.11569544491722,0.1142669379460035,0.10469798657718121
0.11599999999999999,0.11457092207641607,0.10604026845637583
0.117206037575336,0.11577971170838744,0.10738255033557047
0.11800000000000001,0.11657200729250645,0.1087248322147651
0.11800000000000001,0.11657200729250645,0.11006711409395974
0.119696569714877,0.11827836973326167,0.11140939597315436
0.12,0.11857621866502432,0.11275167785234899
0.12018268971746901,0.11876216091284529,0.11409395973154363
0.12058718501571801,0.119171934090384,0.11543624161073826
0.12276714288795801,0.12137342965668484,0.11677852348993288
0.12347541371055198,0.12207200789636087,0.11812080536912752
0.125,0.12359869139721878,0.11946308724832215
0.125346947668775,0.12393936146020518,0.12080536912751678
0.126342702094847,0.12491795112486953,0.1221476510067114
0.126894012451368,0.12546004179815012,0.12348993288590604
0.12859289007789698,0.12718214913687703,0.12483221476510067
0.129,0.12758809552982137,0.1261744966442953
0.129458327418288,0.12804711276281988,0.12751677852348994
0.132548229386168,0.13116660454574378,0.12885906040268458
0.133,0.13162084265728133,0.13020134228187918
0.133,0.13162084265728133,0.13154362416107382
0.133586893496591,0.13220911349354011,0.13288590604026845
0.13422855169168,0.1328507310778567,0.1342281879194631
0.13562429669615303,0.1342534673965183,0.13557046979865772
0.136102395854895,0.13473309512587114,0.13691275167785236
0.13699999999999998,0.1356356160533595,0.138255033557047
0.13777859535912804,0.13641766921455284,0.1395973154362416
0.139399033715953,0.13805519839643932,0.14093959731543623
0.139730443349752,0.13838493045224323,0.14228187919463087
0.14,0.1386580439772936,0.1436241610738255
0.14308600713727,0.14178142967836374,0.14496644295302014
0.143800688775134,0.14250480893575418,0.14630872483221477
