"TIC","ID","mission","quarter_or_sector","tstart","tstop","rel_amplitude","ED","ED_err","orbital_phase","timestamp"
26417717,"Kepler-808","Kepler",11,1085.71647543577,1085.73009749979,0.027444544990493,15.0401231991707,0.230051754568227,0.56165343950047,"2022_07_31"
26417717,"Kepler-808","Kepler",11,1094.04223448311,1094.04564008468,0.01302861436989,1.99508799911614,0.110475091144463,0.749254308261211,"2022_07_31"
27491137,"TOI-2076","TESS",50,2673.90242603558,2673.90312048343,0.013934854769569,0.593844751440044,0.068405908660617,0.828529161552799,"2022_08_01"
27491137,"TOI-2076","TESS",16,,,,,,-1,"2022_08_01"
27769688,"Kepler-396","Kepler",12,1108.20792596138,1108.21269363251,0.005744121630609,1.45647699756831,0.04741160278777,0.996313647522012,"2022_08_01"
27769688,"Kepler-396","Kepler",16,1491.53038294725,1491.53515064609,0.004960661811289,0.860953612142433,0.04009809253021,0.912033445304775,"2022_08_01"
27769688,"Kepler-396","Kepler",16,1519.57106586726,1519.57379035748,0.002451123888161,0.338937043836076,0.032955028110026,0.564233355059796,"2022_08_01"
27769688,"Kepler-396","Kepler",16,1527.57081491948,1527.5742204253,0.001032667917372,0.253154064411536,0.033048126544662,0.75029999347945,"2022_08_01"
27769688,"Kepler-396","Kepler",16,1532.27124037,1532.27668929585,0.004358112353006,1.05693777746104,0.042736621324115,0.85962746825553,"2022_08_01"
27769688,"Kepler-396","Kepler",13,1207.65034790913,1207.65920277251,0.002045093327654,1.01319041007675,0.058481431247336,0.3092508468462,"2022_08_01"
27769688,"Kepler-396","Kepler",13,1258.18235942471,1258.18780871772,0.001673237211675,0.541876846886342,0.047366342691201,0.484577904472487,"2022_08_01"
27769688,"Kepler-396","Kepler",15,,,,,,-1,"2022_08_01"
27769688,"Kepler-396","Kepler",16,,,,,,-1,"2022_08_01"
27769688,"Kepler-396","Kepler",17,,,,,,-1,"2022_08_01"
27769688,"Kepler-396","Kepler",12,,,,,,-1,"2022_08_01"
27769688,"Kepler-396","Kepler",15,,,,,,-1,"2022_08_01"
27769688,"Kepler-396","Kepler",12,,,,,,-1,"2022_08_01"
27769688,"Kepler-396","Kepler",14,,,,,,-1,"2022_08_01"
27769688,"Kepler-396","TESS",40,,,,,,-1,"2022_08_01"
27769688,"Kepler-396","TESS",15,,,,,,-1,"2022_08_01"
27769688,"Kepler-396","Kepler",15,,,,,,-1,"2022_08_01"
28159518,"Kepler-367","Kepler",15,1411.15559730715,1411.16785710098,0.005748890063575,3.87858462606072,0.15193838512909,0.585437034263128,"2022_08_01"
28159518,"Kepler-367","Kepler",15,1401.82931361731,1401.83203793582,0.003963818792519,0.719548424486486,0.066648818791207,0.338812543090012,"2022_08_01"
28159518,"Kepler-367","Kepler",15,1394.60419668325,1394.61168878162,0.009466356928958,2.46087616659264,0.076690551602692,0.147751360866984,"2022_08_01"
28159518,"Kepler-367","Kepler",15,1379.0600346612,1379.06275900859,0.003140016593122,0.631914113430427,0.072460581779622,0.7367011315485,"2022_08_01"
28159518,"Kepler-367","Kepler",14,1319.80071332784,1319.81297370456,0.004657305584576,3.13767233901812,0.13195481412265,0.169646079703729,"2022_08_01"
28159518,"Kepler-367","Kepler",12,,,,,,-1,"2022_08_01"
28159518,"Kepler-367","Kepler",16,1555.47999160844,1555.48475948736,0.003928816852296,1.15556104229268,0.085394681995347,0.401955112861485,"2022_08_01"
28159518,"Kepler-367","Kepler",12,,,,,,-1,"2022_08_01"
28159518,"Kepler-367","Kepler",17,,,,,,-1,"2022_08_01"
28159518,"Kepler-367","TESS",41,,,,,,-1,"2022_08_01"
28159518,"Kepler-367","Kepler",12,,,,,,-1,"2022_08_01"
