TIC,number_of_flares,mean,std,moresectors,futuresectors,ID,KOI,KIC,st_rotp,st_rotp_err,st_rotp_source,note,age,age_uperr,age_lowerr,agesource,xray_flux_erg_s,xray_flux_err_erg_s,xraysource,multiple_star,magdiffGaiaG,dist_nearby_arcsec,no_nearby_in_ziegler2018,multiple_star_source,surface_field_G,surface_field_G_err,surface_field_source,st_rad_rsun,abs_tstart_min,abs_tstart_max,time_span_d,coherence_timescale_rotation_d,coherence_ratio_rotation,tstart_min,tstart_max,orbper,orbper_err,timespan_d,coherence_timescale_orbit_d,coherence_ratio_orbit,st_spectype_bibkey,a_au,st_rad,st_rad_err1,st_rad_err2,st_lum,st_lumerr1,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_lumerr2,st_rad_tess,pl_radj,pl_orbper_kepler,pl_orbpererr1_kepler,pl_orbpererr2_kepler,pl_orbpererr1_tess,pl_orbpererr2_tess,pl_orbper_tess,a_au_err,pl_radjerr1,pl_radjerr2,sy_dist,sy_snum,st_rad_err,orbper_d,orbper_d_err,a_rstar,a_rstar_err,Ro,Ro_high,Ro_low,B_G,B_G_high,B_G_low,obstime_d,orbits_covered,v_rel_km_s,v_rel_err_km_s,p_spi_sb_bp1_erg_s,p_spi_sb_bp1_erg_s_high,p_spi_sb_bp1_erg_s_low,p_spi_sb_bp0_erg_s,p_spi_sb_bp0_erg_s_high,p_spi_sb_bp0_erg_s_low,p_spi_aw_bp1_erg_s,p_spi_aw_bp1_erg_s_high,p_spi_aw_bp1_erg_s_low,p_spi_aw_bp0_erg_s,p_spi_aw_bp0_erg_s_high,p_spi_aw_bp0_erg_s_low,pl_orbper_bibkey,st_rad_bibkey,pl_orbsmax_bibkey,st_lum_bibkey,pl_radj_bibkey,pl_orbeccen_bibkey,st_spectype
120105470,37,0.9608000000000001,0.026051231576773217,1.0,54,Kepler-1627,5245.0,6184894,2.5949,0.0007,reinhold2013rotation,,38.0,6.0,5.0,bouma202238a,4.64919818153724e+29,,foster2022exoplanet,binary,,,1.0,kraus2016impact,,,,,2456214.58843919,2459767.55,3552.96156080719,9619.2943,0.369357818775457,2456214.58843919,2459767.55,7.20283653,8.773e-05,3552.96156080719,591369.589398181,0.006008022097354,,0.0643,0.84,0.09,-0.07,-0.303,0.021,,,,-0.022,,0.329,7.20283653,8.773e-05,-8.773e-05,,,,0.016075,0.044,-0.037,317.437,1.0,0.08,7.20283653,8.773e-05,16.460199535257395,4.403535466548569,0.14883857884772675,0.1525220570918531,0.14507692557004134,2193.9742596999645,2748.3961352482856,1762.7356899250863,179.47708333333335,24.91755610248916,-172.4585835447937,43.11470723108431,1.555522386341409e+26,1.4539852521445493e+27,2.1451901997065845e+25,2.6264186340614456e+28,2.852854051486199e+29,3.1303334549442184e+27,5.096233132700501e+23,2.4043415402327837e+24,1.1289292295005718e+23,2.8443203513464636e+23,3.398146101439275e+24,2.9284371298487867e+22,morton2016false,morton2016false,thompson2018planetary,stassun2019revised,morton2016false,thompson2018planetary,
122066949,4,0.42745,0.01877329663822172,,,Kepler-705,854.0,,20.09,1.0,torres2017validation,,,,,,,,,,,,1.0,ziegler2018measuring,,,,,2455960.16177295,2456262.08054578,301.918772826903,403.6081,0.748049340008049,1127.16177295399,1429.08054578071,56.0560538,0.0002486,301.91877282672,12639908.1561937,2.38861524226168e-05,muirhead2014characterizing,0.232,0.51,0.01,-0.02,-1.385,0.05,,,,-0.06,,0.188,56.0560538,0.0002486,-0.0002486,,,,0.058,0.009,-0.007,276.881,1.0,0.015,56.0560538,0.0002486,97.8185492462099,24.6232919812051,0.3315696915770817,0.36869858282346346,0.29403621048022227,799.7031312742874,1051.5452485632663,633.1610245562575,452.93055555555554,8.079957914475163,-80.6064610625293,21.099602577177425,7.738087007080028e+21,4.88544602743368e+22,1.4457304293803793e+21,6.666831411362097e+23,5.051916882342578e+24,1.0660152988766914e+23,7.353093941503874e+20,2.602661669776608e+21,2.0301718944309723e+20,5.929598274656088e+18,4.655676479430643e+19,8.277706065537023e+17,morton2016false,morton2016false,torres2017validation,torres2017validation,morton2016false,thompson2018planetary,M2 V
138297607,8,0.28665,0.014771481532556823,,,Kepler-636,652.0,5796675,17.2,0.1,mazeh2015photometric,multiple star,5.01,3.15,2.6,morton2016false,,,,binary,1.59,1.23,0.0,"baranec2016roboao,ziegler2018measuring,kraus2016impact",,,,,2455578.87022658,2456105.46056842,526.590341839008,2958.4,0.177998357841742,745.870226577383,1272.46056841618,16.08066115,5.6e-06,526.590341838797,46176368.3966285,1.1403892513064e-05,,0.1185,0.8,0.02,-0.02,-0.126489788293839,0.006862878799438,,,,-0.006897136569023,,0.397,16.08066115,5.6e-06,-5.6e-06,,,,0.029625,0.012,-0.012,310.301,2.0,0.02,16.08066115,5.6e-06,31.851638058699866,8.002625020472351,1.208866774740166,1.2255401307304863,1.1923329245141383,156.69539746577144,162.26764529113558,150.91333832895782,107.01875,6.655121266578022,5.217219613037583,1.3751738014667971,1.7079436305428988e+22,7.74305153687118e+22,4.431193078222191e+21,4.964143872827688e+23,2.3035630619216424e+24,1.256046616199134e+23,7.524806376129482e+19,2.4096429619293703e+20,2.3058388404121522e+19,1.9306979686234335e+18,1.1819906498663688e+19,3.510358108282172e+17,morton2016false,morton2016false,thompson2018planetary,fouesneau2022gaia,morton2016false,thompson2018planetary,
158322085,6,0.93225,0.01355519580579099,,,Kepler-1558,4146.0,,12.1554,0.0388,angus2018inferring,,,,,,,,,,,,1.0,ziegler2018measuring,,,,,2455945.51150954,2455988.77147131,43.2599617773667,3808.0863185567,0.01136002657465,1112.51150953541,1155.77147131263,3.50470358,1.612e-05,43.25996177722,761969.428267048,5.67738811721179e-05,"martinez2019spectroscopic, pecaut2013intrinsic",0.0419,0.79,0.04,-0.04,-0.473868012428284,0.00709992647171,,,,-0.007580161094666,,0.061,3.50470358,1.612e-05,-1.612e-05,,,,0.010475,0.005,-0.004,325.737,1.0,0.04,3.50470358,1.612e-05,11.404870028602462,2.9091069717443476,0.5727038954995979,0.5792474882887358,0.5659154787009693,401.66233032224267,431.62931941650845,374.91313113885025,74.28263888888888,21.195127403296368,92.56271516582284,23.14098839035354,1.1810755428161446e+24,6.733564338581167e+24,2.514695309133083e+23,6.429616632971481e+25,3.845790648829734e+26,1.3074922984685598e+25,5.969240422814774e+21,2.194652222796018e+22,1.6527199391882097e+21,2.2374715424011274e+21,1.6936234421239054e+22,3.4129694377025975e+20,morton2016false,morton2016false,thompson2018planetary,fouesneau2022gaia,morton2016false,thompson2018planetary,K2.5 V
158552258,3,0.27125,0.014641835039821124,,,Kepler-1646,6863.0,,3.514,0.006,mcquillan2014rotation,,,,,,,,,,,,1.0,ziegler2018measuring,,,,,2459415.09220328,2459764.08357851,348.991375235375,2058.03266666667,0.169575236043569,2415.09220327616,2764.08357851183,4.48558383,1.05e-05,348.99137523567,1916234.5043769,0.000182123521124,hardegree-ullman2019kepler,0.0295,0.26,0.05,-0.05,-1.78,0.095,,,,-0.123,,0.11,4.48558383,1.05e-05,-1.05e-05,,,,0.007375,0.025,-0.021,127.591,1.0,0.05,4.48558383,1.05e-05,24.397879201081363,7.695287909669124,0.03680413759877782,0.04112799632369507,0.031889996623101144,2947.848976103459,3204.605721705905,2700.607709990926,75.98472222222222,16.939761935565524,-19.782132093105055,4.947990967760887,6.7600677137228e+23,8.093234367998084e+24,5.740765148722601e+22,1.3898071219511704e+26,1.7591593715577982e+27,1.1132963433847092e+25,3.764812616842193e+20,2.3029040741546886e+21,5.619623904851578e+19,1.164540041756697e+20,1.903358764543525e+21,6.845854979242909e+18,morton2016false,morton2016false,thompson2018planetary,stassun2019revised,morton2016false,thompson2018planetary,M4 V
164884002,9,0.8373,0.018876087165158584,0.0,,Kepler-55,904.0,,13.72,0.001,mazeh2015photometric,,,,,,,,,,,,1.0,ziegler2018measuring,,,,,2455705.10155415,2456405.57854913,700.476994983852,188238.4,0.003721222635678,872.10155414854,1572.57854913231,2.211099,4e-06,700.47699498377,1222239.69695025,0.000573109347317,"furlan2018kepler, pecaut2013intrinsic",0.029,0.62,0.03,-0.03,-0.74760365486145,0.01656448841095,,,,-0.019610047340393,,0.142,2.211099,4e-06,-4e-06,,,,0.00725,0.008,-0.008,578.796,1.0,0.03,2.211099,4e-06,10.0579556684611,2.5611535168535737,0.47167968575022284,0.48079624775044894,0.4611163203791122,512.9294548752888,570.2572365478429,465.34841132543227,882.9097222222222,399.3080916875374,119.6908884078863,29.92272215002369,1.836929201903922e+25,1.036181091625402e+26,3.8746074633166433e+24,1.177057044760357e+27,7.125514033307413e+27,2.3267329192524904e+26,7.544773249970519e+22,2.6627511274105605e+23,2.120357594647588e+22,4.279998117676694e+22,3.167555366564656e+23,6.533123159212641e+21,rowe2014validation,rowe2014validation,rowe2014validation,fouesneau2022gaia,rowe2014validation,thompson2018planetary,K6 V
166527623,12,0.00565,0.0005259911279353167,1.0,64,HIP 67522,,,1.42,0.02,rizzuto2020tess,,,,,,3.41457851052193e+30,,foster2022exoplanet,,,,,wood2021characterizing,,,,,2458608.2868609,2460065.82792424,1457.54106333945,100.82,14.4568643457593,1608.28686090151,3065.82792424088,6.959503,1.55e-05,1457.54106333937,3124818.19400058,0.000466440276794,houk1978michigan,0.07508648862,1.38,0.06,-0.06,0.243,0.022,0.059,0.193,-0.046,-0.023,,0.898,6.959503,1.6e-05,-1.5e-05,,,,0.00443010282858,0.042,-0.042,127.28,1.0,0.06,6.959503,1.55e-05,11.700006891080179,0.8574883221825348,0.15271554027431766,0.15883908647413011,0.14663003027401525,2124.0278306152536,2708.88082763567,1681.6767304773168,92.09166666666665,13.232506210093833,-457.8862100910049,28.204121270605725,1.0599412483453434e+28,2.512670405199195e+28,4.5194810444269174e+27,1.751413106135983e+30,4.8827234162106534e+30,6.391217232303213e+29,5.2403847950745664e+25,8.629437984513402e+25,3.16467619216781e+25,5.665124676759457e+25,1.3490752304725907e+26,2.388699680768854e+25,rizzuto2020tess,rizzuto2020tess,rizzuto2020tess,rizzuto2020tess,rizzuto2020tess,rizzuto2020tess,G1 V
169461816,8,0.53935,0.014130227646196411,2.0,"54,55",KOI-12,12.0,,1.23,0.14,mazeh2015photometric,,,,,,,,,,,,1.0,ziegler2018measuring,,,,,2454957.03811669,2456383.63122342,1426.59310672944,10.8064285714286,132.013374936957,124.03811669023,1550.63122341981,17.855182,7e-06,1426.59310672958,45543932.0361606,3.132345063217e-05,frasca2016activity,0.154,1.4,0.07,-0.06,0.626,0.027,0.34,0.08,-0.07,-0.03,1.49,1.23,17.855182,8e-06,-6e-06,0.0012289,-0.0012289,17.8739396,0.05236,0.06,-0.05,399.398,1.0,0.065,17.855182,7e-06,23.65353712376024,8.116838431196294,0.20558905959841417,0.23621934215718923,0.17600353332679142,1460.40421054448,2113.2164891366774,1061.2242067625687,1375.6027777777776,77.04221540714498,-1268.2628588074479,458.2329199394433,2.3859562339189828e+27,3.3351797842499383e+28,2.594418441197482e+26,3.071221862606859e+29,5.492228240161861e+30,2.6992604279320913e+28,1.6288277232588873e+26,9.504688217264485e+26,2.805010489991969e+25,3.356165818418748e+25,6.341287874320172e+26,2.383431766278667e+24,masuda2017eccentric,masuda2017eccentric,masuda2017eccentric,stassun2019revised,masuda2017eccentric,masuda2017eccentric,F5 IV
200322593,14,0.08445,0.009041201984987032,0.0,,TOI-540,,,0.7261,0.0003916,ment2021toi,,,,,,8.07769635265197e+27,,foster2022exoplanet,,,,,,,,,,2458421.97385343,2459195.27904016,773.305186732672,1346.32586823289,0.574381882558394,1421.97385343077,2195.27904016339,1.2391491,1.7e-06,773.30518673262,903229.701194594,0.000856155622108,ment2021toi,0.01223,0.19,0.01,-0.01,-2.461,0.026,,,,-0.027,0.197117,0.081,1.2391491,1.7e-06,-1.7e-06,4.9e-06,-4.9e-06,1.2391534,0.0030575,0.005,-0.005,14.0022,1.0,0.01,1.2391491,1.7e-06,13.841280336056828,3.536171727901473,0.003472092808774475,0.0035795257070083673,0.0033640081445042726,3821.9835655943994,4510.433592554629,3232.9969728490505,111.23750000000001,89.76926182652275,-75.8677007500557,18.967182645696777,1.6651637466308908e+25,1.0431763116892624e+26,3.1102505641877076e+24,4.070516228286096e+27,2.847759080201329e+28,6.800365303336872e+26,1.0172831125055706e+22,3.7299055882956796e+22,2.736576049419898e+21,1.162501645812377e+22,9.376328798181705e+22,1.6066503285200456e+21,ment2021toi,ment2021toi,ment2021toi,ment2021toi,ment2021toi,ment2021toi,M4 V
206548902,5,0.6925,0.1997530809107417,1.0,69,GJ 3082,,,6.55,,gunther2020stellar,no error given,,,,,4.81315754808368e+27,,foster2022exoplanet,,,,,RV,,,,,2458359.91708247,2459110.42921493,750.512132455595,inf,0.0,1359.91708247215,2110.42921492793,11.949,0.022,750.51213245578,6489.93640909091,0.115642447806497,"gaidos2014trumpeting, pecaut2013intrinsic",0.079,0.47,0.01,-0.01,-1.463,0.091,0.22,0.11,-0.11,-0.115,,0.24659049746983,11.949,0.022,-0.022,,,,0.01738,0.107285902728056,-0.073647059577745,16.6186,1.0,0.01,11.949,0.022,36.143702761645244,7.988714468809711,0.09881802928284482,0.12070600426918981,0.07790739768413903,2644.367922515162,2756.2069198134914,2514.3606147217306,47.13194444444444,3.9444258468863036,-59.286948198055185,18.501611347728748,2.017627991456941e+24,1.5829520286068453e+25,2.793667214911364e+23,3.858238004769249e+26,3.1117805808726514e+27,5.1656667022302165e+25,7.467818439517633e+21,4.602054380008085e+22,1.1001232675962775e+21,9.790122234641053e+20,1.0632538293587784e+22,8.975110200134987e+19,feng2020searcha,stassun2019revised,feng2020searcha,stassun2019revised,chen2017probabilistic,feng2020searcha,M1 V
