pl_orbper_reflink,pl_orbper_bibkey
<a refstr=RIZZUTO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160...33R/abstract target=ref>Rizzuto et al. 2020</a>,rizzuto2020tess
<a refstr=CHEN_AND_KIPPING__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...834...17C target=ref>Chen and Kipping 2017</a>,chen2017probabilistic
"<a refstr=GILLON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016Natur.533..221G/abstract target=ref>Gillon et al. 2016</a,""gillon2017seven",gillon2017seven
<a refstr=AGOL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PSJ.....2....1A/abstract target=ref>Agol et al. 2021</a>,agol2021refining
<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,thompson2018planetary
<a refstr=TORRES_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..264T/abstract target=ref>Torres et al. 2017</a>,torres2017validation
<a refstr=CALE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..295C/abstract target=ref>Cale et al. 2021</a>,cale2021diving
<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,stassun2019revised
<a refstr=GILBERT_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..147G/abstract target=ref>Gilbert et al. 2022</a>,gilbert2022flares
<a refstr=BURT_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...789..114B/abstract target=ref> Burt et al. 2014</a>,burt2014lickcarnegie
<a refstr=GAIA_COLLABORATION_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...616A...1G/abstract target=ref>Gaia DR2</a>,collaboration2018gaia
<a refstr=MANN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..188M/abstract target=ref>Mann et al. 2013</a>,mann2013spectrothermometry
<a refstr=MARTIOLI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.177M/abstract target=ref>Martioli et al. 2021</a>,martioli2021new
<a refstr=FOUESNEAU__ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220605992F target=ref>Fousneau et al. 2022</a>,fouesneau2022gaia
<a refstr=ALMENARA_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.478..460A/abstract target=ref>Almenara et al. 2018</a>,almenara2018absolute
<a refstr=SOUTHWORTH_2011 href=https://ui.adsabs.harvard.edu/abs/2011MNRAS.417.2166S/abstract target=ref>Southworth 2011</a>,southworth2011homogeneous
<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,burke2014planetary
